"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"IBPFAHIO_02787",942.910002153825,-0.767754907578526,0.091380826511602,-8.40170675717241,4.40035570226118e-17,8.45086946049165e-17
"IBPFAHIO_02221",17621.2669663279,-0.484121804445114,0.0576444355572392,-8.39841347677688,4.52551231153175e-17,8.68583740984243e-17
"IBPFAHIO_01334",214.281499610487,-1.58143529243509,0.188320617789976,-8.3975685243279,4.55818553692578e-17,8.74312014899163e-17
"IBPFAHIO_02634",884.053355630923,-0.74071488959104,0.0882540547240709,-8.39298423066123,4.73955195281882e-17,9.08536555369856e-17
"IBPFAHIO_02705",297.697775586619,-1.10252258129141,0.131364302497143,-8.39286290364452,4.74444740431218e-17,9.08911485386199e-17
"IBPFAHIO_01204",17773.0206999028,-0.463406712979197,0.0552972339687732,-8.38028739811627,5.2798621036559e-17,1.01085657117672e-16
"IBPFAHIO_00100",1239.90259947651,0.644857800847332,0.0769720986278116,8.37781238063232,5.39205075358871e-17,1.03169683973368e-16
"IBPFAHIO_01110",436.432257783911,-0.935095576500693,0.111726268025321,-8.3695230587024,5.78519073698586e-17,1.10623436974399e-16
"IBPFAHIO_00007",940.283210998139,-0.814095676280454,0.0972893214094085,-8.36778039446502,5.87136858975909e-17,1.12201926325928e-16
"IBPFAHIO_02477",544.306401004465,-0.84995632400198,0.101746300233748,-8.35368285676551,6.61668528086962e-17,1.26366836865033e-16
"IBPFAHIO_02356",2849.08321870216,-0.569120387307345,0.0682401741884269,-8.3399609405432,7.4315077687454e-17,1.41840876672597e-16
"IBPFAHIO_00554",5620.53675652195,0.529090506511317,0.0635259082246578,8.32873580713245,8.17101831477502e-17,1.55859275936363e-16
"IBPFAHIO_02945",158.075473260484,1.48924671467823,0.179141316839864,8.31325090687749,9.31153542646527e-17,1.77504732050744e-16
"IBPFAHIO_02487",1491.07022748703,0.60007364494866,0.0722135709936197,8.30970739560405,9.59383423842297e-17,1.82773477912531e-16
"IBPFAHIO_00389",5121.73550509223,-0.572556199844363,0.0689309000057116,-8.30623421131773,9.87871531474587e-17,1.88084899958093e-16
"IBPFAHIO_00199",18487.3801208074,-0.500666919708575,0.0602898321132483,-8.30433428257228,1.003806620446e-16,1.9100123510271e-16
"IBPFAHIO_02116",33505.3465876639,0.442667013598388,0.0533781290441652,8.29304101745725,1.10389253354068e-16,2.09916095553984e-16
"IBPFAHIO_01104",12591.3926661814,0.528820636849923,0.0639054572580518,8.27504660070787,1.28405390261541e-16,2.44025486594152e-16
"IBPFAHIO_00242",11534.8427496004,0.535434289881767,0.0647651386610483,8.26732252800368,1.37000963615743e-16,2.60200847358647e-16
"IBPFAHIO_02096",1510.42162761696,0.629525707131052,0.0761909940364091,8.26246874834345,1.42690102347285e-16,2.70839654056357e-16
"IBPFAHIO_01397",3602.2807277139,0.706041496509925,0.0856909662422559,8.23939240589123,1.7308738326515e-16,3.28335085310334e-16
"IBPFAHIO_01891",9216.48519332983,0.484945978107046,0.0590931953458248,8.20646057924349,2.27804294812524e-16,4.31864426462492e-16
"IBPFAHIO_01997",298.990891349194,-1.11520376097425,0.135904563058072,-8.2057860007079,2.2908715152804e-16,4.34030314046997e-16
"IBPFAHIO_00584",184.027708503561,-1.30580574463124,0.159185807605428,-8.20302867619909,2.34405256278565e-16,4.43834079861189e-16
"IBPFAHIO_00520",33554.546558998,0.416769797000493,0.0508183376469999,8.20116942619231,2.38059734587346e-16,4.50202262595765e-16
"IBPFAHIO_01223",62395.9330891407,-0.414553148522422,0.0505476234800104,-8.20123914799598,2.37921683713707e-16,4.50202262595765e-16
"IBPFAHIO_01267",18886.1090746544,-0.43897464445209,0.0535969257911533,-8.19029520765064,2.60586217859618e-16,4.92501580453507e-16
"IBPFAHIO_00429",1956.12955975053,-0.607801866317312,0.0743408210571551,-8.17588315106204,2.93706528425761e-16,5.54759062854277e-16
"IBPFAHIO_02836",836.167938122142,-0.819482461728196,0.100248395651475,-8.17451946639844,2.97047368424192e-16,5.60726778490599e-16
"IBPFAHIO_00563",9767.40481762657,0.48824443304016,0.0598562765205376,8.15694629572616,3.43601074067883e-16,6.48208981707075e-16
"IBPFAHIO_00325",207.977771472521,-1.25840439405959,0.154470217793572,-8.14658263602166,3.74352962568244e-16,7.0579229284208e-16
"IBPFAHIO_02041",1341.84985836236,-0.75460887012578,0.0927344039897409,-8.13731298913897,4.04146961213707e-16,7.61500550927961e-16
"IBPFAHIO_02413",2695.63336340814,0.542013560840513,0.0666143352546203,8.13659040158206,4.06565293910217e-16,7.65590675256024e-16
"IBPFAHIO_02252",302.169038132373,1.07900615275169,0.132669273013399,8.1330524261086,4.18613478356276e-16,7.87798463224349e-16
"IBPFAHIO_00453",5306.95733014341,0.544171037417895,0.0670681031283294,8.11370848489136,4.90978446719297e-16,9.23421750155758e-16
